compang,dili,position,pay,level
['邯郸正大饲料有限公司'],['邢台'],机械工程师,4k-6k,本科生毕业
['郑州微码信息技术有限公司'],['郑州'],见习机械设计工程师有食宿,4k-6k,专科生毕业
['郑州微码信息技术有限公司'],['郑州'],机械设计工程师助理,4k-6k,专科生毕业
['郑州微码信息技术有限公司'],['郑州'],机械制图实习生,2k-4k,专科生毕业
['郑州微码信息技术有限公司'],['郑州'],电子工程师助理,4k-6k,本科生毕业
['河南宋基信阳实验中学'],['信阳'],高中教师,6k-8k,本科生毕业
['星途航空服务有限公司'],['郑州'],空中安全员,25k以上,专科生毕业
['星途航空服务有限公司'],['郑州'],空中乘务员,10k-15k,专科生毕业
['星途航空服务有限公司'],['杭州'],管培生,2k-4k,本科生毕业
['郑州百创通讯设备有限公司'],['郑州'],经理助理,4k-6k,本科生毕业
['郑州百创通讯设备有限公司'],['郑州'],行政专员/助理,2k-4k,专科生毕业
['郑州百创通讯设备有限公司'],['郑州'],人力资源专员/人事助理,4k-6k,专科生毕业
['郑州百创通讯设备有限公司'],['郑州'],实习会计,2k-4k,本科生毕业
['郑州百创通讯设备有限公司'],['郑州'],物流专员/助理,4k-6k,专科生毕业
['郑州百创通讯设备有限公司'],['郑州'],市场经理,6k-8k,专科生毕业
['郑州百创通讯设备有限公司'],['郑州'],销售助理,4k-6k,专科生毕业
['郑州百创通讯设备有限公司'],['郑州'],市场督导,8k-10k,专科生毕业
['郑州百创通讯设备有限公司'],['郑州'],短期出差业务代表,6k-8k,专科生毕业
['郑州百创通讯设备有限公司'],['郑州'],储备干部,6k-8k,专科生毕业
['郑州百创通讯设备有限公司'],['郑州'],管培生,4k-6k,专科生毕业
['郑州百创通讯设备有限公司'],['郑州'],市场专员/助理,6k-8k,专科生毕业
['郑州百创通讯设备有限公司'],['郑州'],会计,2k-4k,专科生毕业
['郑州百创通讯设备有限公司'],['郑州'],暑假工,4k-6k,专科生毕业
['上海擎塔智能科技有限公司'],['苏州'],商务专员/助理,4k-6k,专科生毕业
['上海擎塔智能科技有限公司'],['苏州'],管培生,4k-6k,本科生毕业
['上海擎塔智能科技有限公司'],['苏州'],商务经理/主管,6k-8k,本科生毕业
['上海擎塔智能科技有限公司'],['苏州'],商务专员/助理,4k-6k,本科生毕业
['安阳优胜教育咨询有限公司'],['安阳'],学习管理/规划师,6k-8k,本科生毕业
['安阳优胜教育咨询有限公司'],['安阳'],课程顾问,4k-6k,本科生毕业
['安阳优胜教育咨询有限公司'],['安阳'],初中教师,6k-8k,本科生毕业
['苏州顶津食品有限公司'],['苏州'],设备技术员,6k-8k,专科生毕业
['安阳市军博软件有限公司'],['安阳'],销售代表/业务员/销售助理,8k-10k,专科生毕业
['安阳市军博软件有限公司'],['安阳'],硬件工程师,6k-8k,专科生毕业
['安阳市军博软件有限公司'],['安阳'],NET软件开发工程师,6k-8k,专科生毕业
['北京高途云集教育科技有限公司'],['郑州'],训练营辅导老师,8k-10k,本科生毕业
['北京高途云集教育科技有限公司'],['郑州'],助教/教辅/实验人员,8k-10k,本科生毕业
['北京高途云集教育科技有限公司'],['郑州'],辅导老师,8k-10k,本科生毕业
['北京高途云集教育科技有限公司'],['郑州'],管培生,10k-15k,本科生毕业
['北京高途云集教育科技有限公司'],['郑州'],小初高各科助教,8k-10k,本科生毕业
['北京高途云集教育科技有限公司'],['郑州'],辅导老师,8k-10k,本科生毕业
['北京中公教育科技有限公司郑州分公司'],['郑州'],市场储备干部专升本项目,4k-6k,本科生毕业
['北京中公教育科技有限公司郑州分公司'],['郑州'],职业技能培训师,8k-10k,本科生毕业
['北京中公教育科技有限公司郑州分公司'],['郑州'],培训讲师,4k-6k,本科生毕业
['北京中公教育科技有限公司郑州分公司'],['郑州'],网络推广专员,4k-6k,本科生毕业
['北京中公教育科技有限公司郑州分公司'],['郑州'],管培生,4k-6k,本科生毕业
['北京中公教育科技有限公司郑州分公司'],['郑州'],学习规划师,4k-6k,本科生毕业
['北京中公教育科技有限公司郑州分公司'],['郑州'],学习管理师,4k-6k,本科生毕业
['北京中公教育科技有限公司郑州分公司'],['郑州'],管培生,4k-6k,本科生毕业
['北京中公教育科技有限公司郑州分公司'],['郑州'],市场储备干部,4k-6k,本科生毕业
['北京中公教育科技有限公司郑州分公司'],['郑州'],职业技能培训师,8k-10k,本科生毕业
['北京中公教育科技有限公司郑州分公司'],['郑州'],管培生,4k-6k,本科生毕业
['北京中公教育科技有限公司郑州分公司'],['郑州'],客服专员/助理,4k-6k,本科生毕业
['北京中公教育科技有限公司郑州分公司'],['郑州'],市场推广专员/助理,4k-6k,本科生毕业
['北京中公教育科技有限公司郑州分公司'],['郑州'],营销专员/助理,4k-6k,本科生毕业
['北京中公教育科技有限公司郑州分公司'],['郑州'],网络运营小编,4k-6k,本科生毕业
['北京中公教育科技有限公司郑州分公司'],['郑州'],校办专员,4k-6k,本科生毕业
['北京中公教育科技有限公司郑州分公司'],['郑州'],行测文科培训讲师,6k-8k,本科生毕业
